"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000105339.10",0.573671587642261,5.30220584065077,7.42495192401813,3.65368885745561e-13,1.19517997393947e-12,18.0227021536723,"NOT"
"ENSG00000277290.1",0.989276277689375,-3.53937680495281,7.31582467203325,7.7654010791416e-13,2.49243355437449e-12,18.0023981024786,"NOT"
"ENSG00000157021.9",-0.901755244960063,-2.50159549413159,-7.31776705782514,7.66249367604264e-13,2.46049207818495e-12,17.9890625168668,"NOT"
"ENSG00000274351.1",-0.859220710770989,-5.73676905759258,-7.31623199699737,7.74370897812423e-13,2.48589176604894e-12,17.9880643634975,"NOT"
"ENSG00000203993.4",-0.538648818904626,2.53582109728723,-7.38561868268525,4.79955602167149e-13,1.56068915000017e-12,17.982356798434,"NOT"
"ENSG00000062716.10",0.772629458447357,7.23670438360453,7.4314706698283,3.49179246775437e-13,1.14312290070574e-12,17.9805983712795,"NOT"
"ENSG00000189221.9",-1.06100031486987,6.23154852543801,-7.43158901046971,3.48891966352736e-13,1.14231126039348e-12,17.9748444430032,"NOT"
"ENSG00000198937.8",0.58956873337322,2.62108501282903,7.36956020689201,5.36317719519961e-13,1.73773407111709e-12,17.9719674491007,"NOT"
"ENSG00000171094.15",1.24762296336237,-2.94234642041958,7.30951334904316,8.10925113734997e-13,2.60049734020089e-12,17.9636143015293,"NOT"
"ENSG00000162929.13",0.48460149567139,2.32190323781389,7.36335162001914,5.59812786259373e-13,1.8114343501871e-12,17.9593777560056,"NOT"
"ENSG00000102174.8",1.17863328827128,0.178348231813435,7.32296666904085,7.39357631532799e-13,2.37676988096572e-12,17.9482947944712,"NOT"
"ENSG00000257509.1",0.98242776964262,-3.96587241835625,7.30844170837977,8.16910504672475e-13,2.61882343694705e-12,17.9456413712994,"NOT"
"ENSG00000260368.1",1.01985105724509,-3.2939898365039,7.30689754636937,8.25611557084191e-13,2.64554818330411e-12,17.9450486025388,"NOT"
"ENSG00000153832.11",-0.572325521330429,2.33613313838775,-7.3743542535484,5.18842160152889e-13,1.68242584051364e-12,17.9442827273783,"NOT"
"ENSG00000171940.13",0.426797249902449,5.57649060252747,7.41583501990651,3.89256951273389e-13,1.2716019145425e-12,17.9380000979989,"NOT"
"ENSG00000198670.11",-1.78347954189409,-4.57346168647354,-7.30452292374891,8.39170309621303e-13,2.68823610827232e-12,17.9325550465374,"NOT"
"ENSG00000245768.6",-0.705614284538498,-6.24079719853985,-7.30962831370926,8.10285574595387e-13,2.59873356935150e-12,17.9297535251686,"NOT"
"ENSG00000226891.6",1.08296441963831,-1.90004545032374,7.30451580587758,8.39211279140585e-13,2.68823610827232e-12,17.9241610156499,"NOT"
"ENSG00000158270.11",-1.27303959931196,1.72161315937634,-7.36736861744969,5.44498346673633e-13,1.76345285786679e-12,17.9173916640108,"NOT"
"ENSG00000176428.5",-0.664396259338212,2.68283515290502,-7.37982598695686,4.99580410312375e-13,1.62214133676213e-12,17.9170021333213,"NOT"
"ENSG00000174680.9",-1.08890054226663,-4.89144772466969,-7.30243346615779,8.51281835684127e-13,2.72569832109562e-12,17.9139047721368,"NOT"
"ENSG00000077312.8",0.439364896512314,5.07618327498882,7.40679353499602,4.14463915763317e-13,1.35181651365662e-12,17.9104694913699,"NOT"
"ENSG00000213514.2",1.15067315990794,-3.44352995099688,7.30188358872001,8.54497676439051e-13,2.73569325597214e-12,17.907951819751,"NOT"
"ENSG00000054611.13",0.318424649482437,5.01518770583391,7.40551279954481,4.18162030025843e-13,1.36357183704079e-12,17.901194895269,"NOT"
"ENSG00000119922.8",0.620821419590229,4.96986373951898,7.40118654778014,4.3089581679909e-13,1.40399091632169e-12,17.9003628980015,"NOT"
"ENSG00000204682.5",-0.774359315216882,1.85234458265843,-7.36012767536226,5.72409716759855e-13,1.85116345726516e-12,17.8877453130152,"NOT"
"ENSG00000272821.1",0.788902932625892,2.04890762931245,7.34439114765196,6.38013838851813e-13,2.0575946302971e-12,17.8840151102879,"NOT"
"ENSG00000165757.8",0.820733324659395,6.13434177916644,7.40967436002059,4.06262793603309e-13,1.32596172094187e-12,17.879182663511,"NOT"
"ENSG00000184898.6",0.633602336559066,4.18696593301351,7.38444033104357,4.83885215996967e-13,1.57276241817603e-12,17.8761681427707,"NOT"
"ENSG00000261670.1",1.01399560527145,-3.91177629413528,7.2977253249934,8.79206402407576e-13,2.81200725398126e-12,17.8742414036561,"NOT"
"ENSG00000087470.17",-0.321100828704082,5.78134690147725,-7.41168030025377,4.00646836795933e-13,1.30807361507334e-12,17.8702303848953,"NOT"
"ENSG00000260276.2",0.889471860418713,0.656042017493701,7.31969801091586,7.56152222887233e-13,2.42887541714275e-12,17.8665062821821,"NOT"
"ENSG00000187066.8",0.805650697511715,0.138066624522025,7.31401329494648,7.86259232216599e-13,2.5230706705458e-12,17.8653729447969,"NOT"
"ENSG00000224881.1",1.06555488338554,-4.9606703244287,7.29842315625723,8.75011301619399e-13,2.80013263831346e-12,17.8562161455057,"NOT"
"ENSG00000143641.9",0.656141362961354,6.40181771646139,7.40703154113906,4.13780230534287e-13,1.34973827728228e-12,17.8415494878176,"NOT"
"ENSG00000139178.10",0.609202626129225,5.39921244495699,7.39788679247101,4.40864094506146e-13,1.43566479782799e-12,17.8364368683017,"NOT"
"ENSG00000165526.8",0.322986965056281,4.1909765892545,7.38369129075788,4.86399588964325e-13,1.58022700578571e-12,17.8317942366992,"NOT"
"ENSG00000259703.5",1.3539428349399,-4.06752123605397,7.29161824713055,9.16774301539069e-13,2.92925738685287e-12,17.8245661186721,"NOT"
"ENSG00000226756.1",0.989487224671921,-3.99742970262282,7.29048468030746,9.23919211862417e-13,2.95111204185173e-12,17.8244335314511,"NOT"
"ENSG00000254560.5",-2.06665982196654,-3.76179139009773,-7.29151407227649,9.17428644568704e-13,2.93102547150321e-12,17.8235704987084,"NOT"
"ENSG00000236022.6",1.43346833834433,-3.38121641713569,7.28963430034671,9.29315120286738e-13,2.96704117988368e-12,17.8227282181714,"NOT"
"ENSG00000159214.12",-0.659568574612947,2.80073849074767,-7.36856239448025,5.40027181988162e-13,1.74936260683107e-12,17.8202809897239,"NOT"
"ENSG00000130348.11",-0.370647530350841,4.01407324976295,-7.38578418561514,4.79406197889057e-13,1.55907729901735e-12,17.8169488403625,"NOT"
"ENSG00000133321.10",0.873214331439645,5.92304990265713,7.39846449249859,4.39102670142463e-13,1.43008920566483e-12,17.8159524054429,"NOT"
"ENSG00000151694.12",0.512829019858221,4.71424756104073,7.38587981376544,4.79089032437342e-13,1.55822043551029e-12,17.813048547605,"NOT"
"ENSG00000127585.11",1.49616668333393,4.60366895755646,7.37022234915721,5.33869995808743e-13,1.72999627423789e-12,17.8099375064489,"NOT"
"ENSG00000148225.15",-0.693318789755071,2.39351877145054,-7.35734277298411,5.83515424938549e-13,1.88539855380623e-12,17.8096091589818,"NOT"
"ENSG00000138439.11",-0.437741261550322,4.00243031397678,-7.38422133749131,4.84619005713764e-13,1.57479474259315e-12,17.805995032114,"NOT"
"ENSG00000161682.14",-0.926124357441453,0.0736604421448119,-7.31773248470858,7.66431357377085e-13,2.46080421989711e-12,17.8015766168784,"NOT"
"ENSG00000129009.12",-1.43629416648462,3.23305761707429,-7.38039841683724,4.97606458213737e-13,1.6160934821141e-12,17.7945214732672,"NOT"
